Ceremony	Year	Class	CanonicalCategory	Category	Film	FilmId	Name	Nominees	NomineeIds	Winner	Detail	Note	Citation
8	1935	Music	MUSIC (Original Song Score or Adaptation Score)	MUSIC (Scoring)	Mutiny on the Bounty	tt0026752	Metro-Goldwyn-Mayer Studio Music Department						
8	1935	Music	MUSIC (Original Song Score or Adaptation Score)	MUSIC (Scoring)	Peter Ibbetson	tt0026866	Paramount Studio Music Department						
8	1935	Music	MUSIC (Original Song)	MUSIC (Song)	Top Hat	tt0027125	Music and Lyrics by Irving Berlin	Irving Berlin	nm0000927		Cheek To Cheek	came in 2nd	
8	1935	Music	MUSIC (Original Song)	MUSIC (Song)	Roberta	tt0026942	Music by Jerome Kern; Lyrics by Dorothy Fields and Jimmy McHugh	Jerome Kern|Dorothy Fields|Jimmy McHugh	nm0006153|nm0276227|nm0006192		Lovely To Look At	came in 3rd	
8	1935	Music	MUSIC (Original Song)	MUSIC (Song)	Gold Diggers of 1935	tt0026421	Music by Harry Warren; Lyrics by Al Dubin	Harry Warren|Al Dubin	nm0912851|nm0006048	True	Lullaby Of Broadway		
8	1935	Title	BEST PICTURE	OUTSTANDING PRODUCTION	Alice Adams	tt0026056	RKO Radio	RKO Radio	co0041421				
8	1935	Title	BEST PICTURE	OUTSTANDING PRODUCTION	Broadway Melody of 1936	tt0026144	Metro-Goldwyn-Mayer	Metro-Goldwyn-Mayer	co0007143				
8	1935	Title	BEST PICTURE	OUTSTANDING PRODUCTION	Captain Blood	tt0026174	Cosmopolitan	Cosmopolitan	co0073404			came in 3rd	
8	1935	Title	BEST PICTURE	OUTSTANDING PRODUCTION	David Copperfield	tt0026266	Metro-Goldwyn-Mayer	Metro-Goldwyn-Mayer	co0007143				
8	1935	Title	BEST PICTURE	OUTSTANDING PRODUCTION	The Informer	tt0026529	RKO Radio	RKO Radio	co0041421			came in 2nd	
8	1935	Title	BEST PICTURE	OUTSTANDING PRODUCTION	Les Miserables	tt0026725	20th Century	20th Century	co0067247				
8	1935	Title	BEST PICTURE	OUTSTANDING PRODUCTION	The Lives of a Bengal Lancer	tt0026643	Paramount	Paramount	co0023400				
8	1935	Title	BEST PICTURE	OUTSTANDING PRODUCTION	A Midsummer Night's Dream	tt0026714	Warner Bros.	Warner Bros.	co0080422				
8	1935	Title	BEST PICTURE	OUTSTANDING PRODUCTION	Mutiny on the Bounty	tt0026752	Metro-Goldwyn-Mayer	Metro-Goldwyn-Mayer	co0007143	True			
8	1935	Title	BEST PICTURE	OUTSTANDING PRODUCTION	Naughty Marietta	tt0026768	Metro-Goldwyn-Mayer	Metro-Goldwyn-Mayer	co0007143				
8	1935	Title	BEST PICTURE	OUTSTANDING PRODUCTION	Ruggles of Red Gap	tt0026955	Paramount	Paramount	co0023400				
8	1935	Title	BEST PICTURE	OUTSTANDING PRODUCTION	Top Hat	tt0027125	RKO Radio	RKO Radio	co0041421				
8	1935	Title	SHORT FILM (Animated)	SHORT SUBJECT (Cartoon)	The Calico Dragon	tt0026162	Harman-Ising	Hugh Harman|Rudolf Ising	nm0363414|nm0411208			came in 3rd	
8	1935	Title	SHORT FILM (Animated)	SHORT SUBJECT (Cartoon)	Three Orphan Kittens	tt0027100	Walt Disney						
8	1935	Title	SHORT FILM (Animated)	SHORT SUBJECT (Cartoon)	Who Killed Cock Robin?	tt0027212	Walt Disney						
8	1935	Title	SHORT SUBJECT (Comedy)	SHORT SUBJECT (Comedy)	How to Sleep	tt0026497	Jack Chertok						
8	1935	Title	SHORT SUBJECT (Comedy)	SHORT SUBJECT (Comedy)	Oh								
8	1935	Title	SHORT SUBJECT (Comedy)	SHORT SUBJECT (Comedy)	Tit for Tat	tt0027113	Hal Roach						
8	1935	Title	SHORT SUBJECT (Novelty)	SHORT SUBJECT (Novelty)	Audioscopiks	tt0026086	Pete Smith						
8	1935	Title	SHORT SUBJECT (Novelty)	SHORT SUBJECT (Novelty)	Camera Thrills	tt0026167	Universal	Universal	co0005073			tied for 2nd	
8	1935	Title	SHORT SUBJECT (Novelty)	SHORT SUBJECT (Novelty)	Wings over Mt. Everest	tt0024777	Gaumont British and Skibo Productions	Gaumont British|Skibo Productions	co0053065|co0019661	True			
8	1935	Production	SOUND RECORDING	SOUND RECORDING	Bride of Frankenstein	tt0026138	Universal Studio Sound Department						
8	1935	Production	SOUND RECORDING	SOUND RECORDING	Captain Blood	tt0026174	Warner Bros.-First National Studio Sound Department						
8	1935	Production	SOUND RECORDING	SOUND RECORDING	The Dark Angel	tt0026264	United Artists Studio Sound Department						
8	1935	Production	SOUND RECORDING	SOUND RECORDING	I Dream Too Much	tt0026507	RKO Radio Studio Sound Department						
8	1935	Production	SOUND RECORDING	SOUND RECORDING	The Lives of a Bengal Lancer	tt0026643	Paramount Studio Sound Department						
8	1935	Production	SOUND RECORDING	SOUND RECORDING	Love Me Forever	tt0026654	Columbia Studio Sound Department						
8	1935	Production	SOUND RECORDING	SOUND RECORDING	Naughty Marietta	tt0026768	Metro-Goldwyn-Mayer Studio Sound Department						
8	1935	Production	SOUND RECORDING	SOUND RECORDING	$1,000 a Minute	tt0027221							
8	1935	Production	SOUND RECORDING	SOUND RECORDING	Thanks a Million	tt0027088	20th Century-Fox Studio Sound Department						
8	1935	Writing	WRITING (Original Story)	WRITING (Original Story)	Broadway Melody of 1936	tt0026144	Moss Hart	Moss Hart	nm0366454			came in 3rd	
8	1935	Writing	WRITING (Original Story)	WRITING (Original Story)	G-Men	tt0026393	Gregory Rogers	Gregory Rogers	nm0953123			came in 2nd|NOTE: THIS IS NOT AN OFFICIAL NOMINATION. Write-in candidate.	
8	1935	Writing	WRITING (Original Story)	WRITING (Original Story)	The Gay Deception	tt0026400	Don Hartman						
8	1935	Writing	WRITING (Original Story)	WRITING (Original Story)	The Scoundrel	tt0026970	Ben Hecht						
8	1935	Writing	WRITING (Adapted Screenplay)	WRITING (Screenplay)	Captain Blood	tt0026174	Casey Robinson	Casey Robinson	nm0732452			came in 3rd|NOTE: THIS IS NOT AN OFFICIAL NOMINATION. Write-in candidate.	
8	1935	Writing	WRITING (Adapted Screenplay)	WRITING (Screenplay)	The Informer	tt0026529	Dudley Nichols	Dudley Nichols	nm0629580	True		NOTE: Mr. Nichols initially refused the award	
8	1935	Writing	WRITING (Adapted Screenplay)	WRITING (Screenplay)	The Lives of a Bengal Lancer	tt0026643	Screenplay by Waldemar Young						
8	1935	Writing	WRITING (Adapted Screenplay)	WRITING (Screenplay)	Mutiny on the Bounty	tt0026752	Talbot Jennings						
8	1935	Special	SPECIAL AWARD	SPECIAL AWARD				David Wark Griffith	nm0000428	True			To David Wark Griffith
8	1935	SciTech	SCIENTIFIC OR TECHNICAL AWARD (Class II)	SCIENTIFIC OR TECHNICAL AWARD (Class II)				Agfa Ansco Corporation		True	Film		To AGFA ANSCO CORPORATION for their development of the Agfa infra-red film.
8	1935	SciTech	SCIENTIFIC OR TECHNICAL AWARD (Class II)	SCIENTIFIC OR TECHNICAL AWARD (Class II)				Eastman Kodak Company		True	Lenses and Filters		To EASTMAN KODAK COMPANY for their development of the Eastman Pola-Screen.
8	1935	SciTech	SCIENTIFIC OR TECHNICAL AWARD (Class III)	SCIENTIFIC OR TECHNICAL AWARD (Class III)				Metro-Goldwyn-Mayer Studio		True	Laboratory		To METRO-GOLDWYN-MAYER STUDIO for the development of anti-directional negative and positive development by means of jet turbulation
8	1935	SciTech	SCIENTIFIC OR TECHNICAL AWARD (Class III)	SCIENTIFIC OR TECHNICAL AWARD (Class III)				WILLIAM A. MUELLER	nm0611121	True	Sound		To WILLIAM A. MUELLER of Warner Bros.-First National Studio Sound Department for his method of dubbing
8	1935	SciTech	SCIENTIFIC OR TECHNICAL AWARD (Class III)	SCIENTIFIC OR TECHNICAL AWARD (Class III)				Mole-Richardson Company		True	Lighting		"To MOLE-RICHARDSON COMPANY for their development of the ""Solar-spot"" spot lamps."
8	1935	SciTech	SCIENTIFIC OR TECHNICAL AWARD (Class III)	SCIENTIFIC OR TECHNICAL AWARD (Class III)				Douglas Shearer|Metro-Goldwyn-Mayer	nm0790428|co0007143	True	Stage Operations		To DOUGLAS SHEARER and METRO-GOLDWYN-MAYER STUDIO SOUND DEPARTMENT for their automatic control system for cameras and sound recording machines and auxiliary stage equipment.
8	1935	SciTech	SCIENTIFIC OR TECHNICAL AWARD (Class III)	SCIENTIFIC OR TECHNICAL AWARD (Class III)				Electrical Research Products Inc.		True	Sound		To ELECTRICAL RESEARCH PRODUCTS
8	1935	SciTech	SCIENTIFIC OR TECHNICAL AWARD (Class III)	SCIENTIFIC OR TECHNICAL AWARD (Class III)				Paramount Productions Inc.		True	Laboratory		To PARAMOUNT PRODUCTIONS
